top_type,top_color,top_usage,top_season,bottom_type,bottom_color,bottom_usage,bottom_season,shoe_type,shoe_color,shoe_usage,shoe_season,compatibility_score,compatibility_label
Tshirts,Blue,Casual,Fall,Trousers,Grey,Formal,Fall,Casual Shoes,Black,Casual,Winter,48,Poor Match
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall,52,Poor Match
Shirts,White,Formal,Summer,Trousers,Brown,Casual,Summer,Sports Shoes,White,Sports,Fall,44,Poor Match
Shirts,Purple,Casual,Fall,Shorts,Red,Sports,Summer,Casual Shoes,Brown,Casual,Winter,32,Poor Match
Tshirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,70,Moderately Compatible
Tshirts,White,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,58,Poor Match
Tshirts,Grey,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,57,Poor Match
Tshirts,Navy Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Summer,53,Poor Match
Shirts,White,Casual,Fall,Trousers,Blue,Formal,Fall,Sports Shoes,White,Sports,Summer,38,Poor Match
Tshirts,Green,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Blue,Casual,Fall,43,Poor Match
Shirts,Pink,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Black,Sports,Summer,48,Poor Match
Tshirts,Black,Casual,Summer,Shorts,White,Casual,Summer,Sports Shoes,White,Casual,Summer,88,Highly Compatible
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Summer,38,Poor Match
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,White,Casual,Fall,78,Moderately Compatible
Shirts,Navy Blue,Casual,Summer,Trousers,Brown,Casual,Fall,Casual Shoes,Black,Casual,Fall,78,Moderately Compatible
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Winter,43,Poor Match
Tshirts,Purple,Casual,Fall,Shorts,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer,69,Moderately Compatible
Tshirts,Red,Casual,Fall,Shorts,Red,Sports,Summer,Sports Shoes,Silver,Sports,Summer,37,Poor Match
Shirts,White,Formal,Summer,Jeans,,Casual,Fall,Formal Shoes,Black,Formal,Summer,52,Poor Match
Shirts,Purple,Formal,Fall,Jeans,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter,52,Poor Match
Shirts,Brown,Casual,Summer,Shorts,Navy Blue,Sports,Fall,Casual Shoes,Blue,Casual,Summer,52,Poor Match
Tshirts,Blue,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,Blue,Sports,Summer,37,Poor Match
Sweatshirts,Purple,Casual,Fall,Shorts,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall,48,Poor Match
Tshirts,Blue,Casual,Summer,Shorts,Grey,Casual,Fall,Casual Shoes,Blue,Casual,Fall,57,Poor Match
Tshirts,Pink,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Winter,60,Moderately Compatible
Shirts,Red,Casual,Fall,Trousers,Green,Casual,Fall,Casual Shoes,Grey,Casual,Winter,58,Poor Match
Shirts,Grey,Casual,Fall,Trousers,Cream,Formal,Fall,Casual Shoes,Black,Casual,Summer,47,Poor Match
Tshirts,Green,Casual,Fall,Shorts,Red,Casual,Fall,Casual Shoes,Black,Casual,Summer,60,Moderately Compatible
Tshirts,Burgundy,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Black,Sports,Summer,32,Poor Match
Tshirts,Grey,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Casual,Winter,59,Poor Match
Tshirts,White,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Sports,Summer,60,Moderately Compatible
Shirts,Green,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Fall,62,Moderately Compatible
Tshirts,White,Casual,Fall,Shorts,Brown,Sports,Summer,Casual Shoes,Black,Casual,Winter,53,Poor Match
Jackets,Red,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,Grey,Casual,Fall,73,Moderately Compatible
Kurtas,Maroon,Ethnic,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Navy Blue,Casual,Summer,37,Poor Match
Shirts,Brown,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter,48,Poor Match
Tshirts,Blue,Casual,Summer,Trousers,Beige,Casual,Fall,Sports Shoes,Silver,Sports,Summer,52,Poor Match
Tshirts,White,Casual,Fall,Jeans,Blue,Casual,Winter,Casual Shoes,Black,Casual,Summer,73,Moderately Compatible
Shirts,Red,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall,63,Moderately Compatible
Tshirts,Navy Blue,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Red,Casual,Winter,71,Moderately Compatible
Shirts,White,Casual,Fall,Shorts,Red,Casual,Fall,Casual Shoes,White,Casual,Summer,69,Moderately Compatible
Kurtas,Maroon,Ethnic,Summer,Trousers,Grey,Casual,Summer,Sports Shoes,Black,Sports,Summer,48,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Black,Sports,Summer,Casual Shoes,Black,Casual,Fall,53,Poor Match
Shirts,Black,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Casual,Winter,69,Moderately Compatible
Tshirts,Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Green,Casual,Summer,79,Moderately Compatible
Tshirts,Brown,Casual,Fall,Shorts,Black,Sports,Summer,Sports Shoes,Blue,Sports,Summer,47,Poor Match
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,72,Moderately Compatible
Tshirts,White,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Summer,58,Poor Match
Tshirts,Green,Sports,Fall,Trousers,Charcoal,Formal,Fall,Casual Shoes,Black,Casual,Fall,38,Poor Match
Tshirts,White,Casual,Summer,Shorts,Black,Sports,Summer,Sports Shoes,Black,Sports,Summer,88,Highly Compatible
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter,81,Highly Compatible
Shirts,Green,Casual,Fall,Track Pants,Black,Casual,Fall,Sports Shoes,White,Casual,Summer,68,Moderately Compatible
Shirts,Red,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,White,Casual,Summer,49,Poor Match
Shirts,Yellow,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Black,Casual,Summer,70,Moderately Compatible
Shirts,Orange,Formal,Summer,Trousers,Black,Formal,Summer,Casual Shoes,Black,Casual,Summer,61,Moderately Compatible
Shirts,Navy Blue,Casual,Summer,Trousers,Black,Casual,Fall,Sports Shoes,White,Sports,Fall,57,Poor Match
Tshirts,Red,Casual,Fall,Shorts,Beige,Casual,Fall,Casual Shoes,Grey,Casual,Winter,72,Moderately Compatible
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall,37,Poor Match
Tshirts,Yellow,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,48,Poor Match
Tshirts,Black,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Beige,Casual,Winter,48,Poor Match
Shirts,Pink,Casual,Summer,Trousers,Black,Casual,Summer,Casual Shoes,Blue,Casual,Summer,67,Moderately Compatible
Tshirts,Navy Blue,Casual,Summer,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Summer,48,Poor Match
Tshirts,Purple,Casual,Fall,Shorts,Blue,Casual,Summer,Casual Shoes,Beige,Casual,Winter,47,Poor Match
Shirts,Red,Casual,Summer,Shorts,Black,Sports,Winter,Sports Shoes,White,Casual,Summer,51,Poor Match
Shirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Grey,Sports,Summer,48,Poor Match
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall,52,Poor Match
Tshirts,White,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,Black,Sports,Spring,62,Moderately Compatible
Tshirts,Grey,Casual,Summer,Track Pants,Black,Sports,Fall,Sports Shoes,White,Sports,Fall,82,Highly Compatible
Shirts,Olive,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Blue,Sports,Fall,23,Poor Match
Tshirts,Grey,Casual,Summer,Track Pants,Grey,Sports,Summer,Sports Shoes,Grey,Sports,Fall,67,Moderately Compatible
Kurtas,Maroon,Ethnic,Summer,Trousers,Charcoal,Formal,Fall,Casual Shoes,Brown,Casual,Summer,26,Poor Match
Tshirts,Burgundy,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Summer,50,Poor Match
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Fall,51,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Black,Casual,Summer,Casual Shoes,Blue,Casual,Fall,58,Poor Match
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,Silver,Sports,Summer,42,Poor Match
Shirts,Purple,Formal,Fall,Trousers,Grey,Formal,Fall,Sports Shoes,White,Casual,Summer,48,Poor Match
Tshirts,Purple,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer,51,Poor Match
Tshirts,Grey,Casual,Fall,Trousers,Grey,Formal,Fall,Casual Shoes,Blue,Casual,Summer,51,Poor Match
Tshirts,White,Casual,Fall,Track Pants,Grey,Casual,Fall,Casual Shoes,Red,Casual,Winter,73,Moderately Compatible
Tshirts,Brown,Casual,Fall,Track Pants,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer,59,Poor Match
Tshirts,Purple,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,White,Casual,Summer,52,Poor Match
Tshirts,Green,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Fall,69,Moderately Compatible
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Fall,Sports Shoes,Black,Sports,Spring,48,Poor Match
Tshirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,43,Poor Match
Shirts,Yellow,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer,69,Moderately Compatible
Tshirts,Purple,Casual,Fall,Shorts,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,52,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Brown,Sports,Summer,Casual Shoes,Navy Blue,Casual,Summer,62,Moderately Compatible
Tshirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Casual,Summer,72,Moderately Compatible
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,61,Moderately Compatible
Tshirts,Orange,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Charcoal,Casual,Fall,47,Poor Match
Tshirts,Grey,Casual,Summer,Shorts,Black,Sports,Summer,Sports Shoes,Black,Sports,Spring,77,Moderately Compatible
Tshirts,Green,Casual,Summer,Jeans,Blue,Casual,Winter,Casual Shoes,Brown,Casual,Winter,71,Moderately Compatible
Shirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,White,Casual,Spring,63,Moderately Compatible
Tshirts,Black,Casual,Summer,Trousers,Black,Formal,Fall,Sports Shoes,White,Sports,Fall,48,Poor Match
Kurtas,Maroon,Ethnic,Summer,Jeans,,Casual,Fall,Casual Shoes,Black,Casual,Summer,43,Poor Match
Shirts,White,Formal,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Fall,60,Moderately Compatible
Shirts,Green,Casual,Summer,Shorts,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer,82,Highly Compatible
Tshirts,Purple,Casual,Summer,Track Pants,Black,Casual,Fall,Sports Shoes,Blue,Sports,Summer,48,Poor Match
Tshirts,Black,Casual,Summer,Jeans,Blue,Casual,Winter,Sports Shoes,Black,Sports,Summer,47,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,White,Casual,Spring,63,Moderately Compatible
Shirts,Red,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter,39,Poor Match
Tshirts,Navy Blue,Sports,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Blue,Casual,Summer,60,Moderately Compatible
Tshirts,Burgundy,Casual,Summer,Track Pants,Brown,Casual,Fall,Casual Shoes,Black,Casual,Fall,67,Moderately Compatible
